Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
1/13/2018,14290.11,15036.5,14290.11,14870.39,2664.208355,39228449.41,14724.24232
1/12/2018,13784.33,14656.57,13415.29,14290.09,3520.46317,49905228.7,14175.75651
1/11/2018,15329.69,15398.68,13352.68,13810.26,2139.763599,30399017.26,14206.71763
1/10/2018,14862.23,15324.63,13849.17,15324.56,2476.43104,36387669.87,14693.59303
1/9/2018,15365.14,15728.55,14642.21,14840.34,1574.82075,24010102.3,15246.24457
1/8/2018,16725.73,16850.51,14743.2,15393.46,1361.371712,21466193.14,15768.06169
1/7/2018,17605.93,17627.41,16319.64,16724.73,1235.942682,21046525.23,17028.72272
1/6/2018,17071.8,17716.7,16733.09,17605.94,1230.794244,21053844.6,17105.90109
1/5/2018,15638.12,16664.47,15507.71,16623,103.466463,1641203.563,15862.17907
1/4/2018,15620.89,15891.06,14742.84,15648.44,344.502745,5273341.453,15307.11012
1/3/2018,15386,15858.96,15187.89,15644.57,242.174362,3751417.571,15490.56449
1/2/2018,14139.8,15714.06,13639,15386,232.593293,3343367.215,14374.3062
1/1/2018,14422,14422.27,13415.92,14137.33,193.871403,2704755.919,13951.28873
12/31/2017,13498.67,14716.05,13305.98,14445.29,144.840682,2007530.319,13860.26558
12/30/2017,15058,15058.6,13010.93,13498.67,109.315532,1504156.954,13759.77344
12/29/2017,14915.76,15558.96,14652.21,15058.56,111.355835,1679582.309,15083.0202
12/28/2017,15928.76,15941.9,14000,14954.32,202.708787,2990901.649,14754.67193
12/27/2017,16162.43,16952.08,14973.2,15917,200.714926,3240646.743,16145.51946
12/26/2017,14534.89,16607.16,14425.68,16179.54,295.388838,4620630.031,15642.5343
12/25/2017,14654.63,15100,14066.07,14557.63,168.804217,2469701.484,14630.56746
12/24/2017,15537.5,15537.5,13460,14641.66,324.50134,4595484.799,14161.68204
12/23/2017,14442.46,15766,14371.46,15540.25,212.997769,3225291.417,15142.37183
12/22/2017,15753.25,15947.75,12299.08,14448.55,678.340193,9616368.634,14176.32146
12/21/2017,16593.24,17498.74,15008.25,15745.75,1267.456211,20795000.62,16406.87894
12/20/2017,17463.42,17866.24,15817.24,16597.74,6498.935241,109188075.5,16800.9176
12/19/2017,19002.47,19038.47,16799.48,17465.47,10272.52713,184516602.2,17962.14309
12/18/2017,19015.5,19224.06,18074.85,19002.47,10802.3346,201480620.8,18651.58118
12/17/2017,19311.03,19942.54,18684.55,19014.7,7305.054705,140866524.3,19283.43181
12/16/2017,17634.24,19599.55,17334.19,19315.66,6943.260787,128292018.5,18477.20004
12/15/2017,17126.43,18156.06,17109.43,17634.7,6084.9118,107964719.9,17743.02134
12/14/2017,16269.67,17077.43,15950.43,16550.43,7253.1601,119277079.9,16444.84311
12/13/2017,17047.43,17339.18,15753.04,16269.93,10686.8037,177730232,16630.81282
12/12/2017,16830.93,17698.99,16314.43,17046.43,8303.279311,140824182,16960.06803
12/11/2017,14995.43,17293.43,14994.82,16830.93,11472.4054,187706233.1,16361.54116
12/10/2017,14729.45,15728.16,12780.69,14993.65,17644.14845,248419064.8,14079.40233
12/9/2017,15859.43,16251.43,13075.54,14731.33,17182.0614,255122655.7,14848.19835
12/8/2017,16610.43,17165.74,13877.23,15870.45,11762.32113,182556352.4,15520.436
12/7/2017,13527.44,16638.93,13165.57,16614.89,12628.14857,185861527.3,14718.03457
12/6/2017,11602.25,13595.75,11595.73,13532.22,6387.44775,80615160.09,12620.87194
12/5/2017,11643.43,11972.97,11474,11603.75,4550.061287,53295262.9,11713.08682
12/4/2017,11218.93,11641.43,10806.16,11639.43,6055.016614,68728988.38,11350.75141
12/3/2017,10933.92,11886.43,10516.01,11222.97,6300.802742,71386067.6,11329.67822
12/2/2017,10913.43,11232.93,10723.43,10933.93,6460.887181,70840501.51,10964.5161
12/1/2017,9976.26,10989.43,9430.93,10913.43,9542.231508,97608409.19,10229.09674
11/30/2017,9837.38,10615.43,8909.24,9977.94,13955.88421,136552918.5,9784.612463
11/29/2017,9900.38,11440.79,9016.43,9818.38,12896.46776,134265037.9,10410.99318
11/28/2017,9723.73,9974.98,9600.18,9900.38,3597.566638,35435414.22,9849.828449
11/27/2017,9346.31,9786.43,9282.31,9724.58,4929.023551,47258717.89,9587.845827
11/26/2017,8814.28,9526.03,8750.4,9346.77,4601.79313,42272059.43,9185.997336
11/25/2017,8260.33,8819.88,8191.78,8816.28,3386.136883,28940209.33,8546.674376
11/24/2017,8035.28,8409.68,7936.83,8262.16,2512.835967,20628225.69,8209.141367
11/23/2017,8295.18,8326.48,8035.28,8035.28,1757.736712,14452056.05,8221.968599
11/22/2017,8161,8368.88,8133.78,8293.73,2172.444886,17932421,8254.48835
11/21/2017,8300.35,8456.78,7857.56,8161.62,4298.931808,35132823.41,8172.454224
11/20/2017,8129.73,8362.53,8022.63,8301.03,2098.812852,17248965.13,8218.438874
11/19/2017,7850.13,8198.38,7727.7,8128.98,2214.181696,17647856.03,7970.373916
11/18/2017,7747.63,7937.58,7500.9,7859.41,1498.124382,11593929.32,7738.963105
11/17/2017,7937.43,8105.28,7592.87,7746.88,5582.402227,44055372.36,7891.830536
11/16/2017,7390.6,8088.85,7207.49,7939.43,5053.220064,38744897.17,7667.367872
11/15/2017,6702.28,7431.08,6702.28,7390.83,4491.759876,32148004.68,7157.106694
11/14/2017,6592.28,6799.58,6426.78,6698.28,3856.776322,25591965.73,6635.584643
11/13/2017,5936.91,6792.78,5899.56,6592.28,8660.274002,55539941.85,6413.185292
11/12/2017,6382,6577.94,5562.1,5937.39,17241.34665,105824839.7,6137.852327
11/11/2017,6614.05,6856.15,6245.41,6378.9,11286.81647,73791967.91,6537.890301
11/10/2017,7153.55,7344.55,6462.15,6614.05,10583.2532,72904501.03,6888.666429
11/9/2017,7484.15,7487.05,7056.11,7152.58,7888.63695,57231142.64,7254.883575
11/8/2017,7119.75,7819.57,7063.45,7483.15,9507.00633,70266563.48,7391.02942
11/7/2017,6970.58,7236.15,6968.17,7121.15,6826.005605,48465360.73,7100.105616
11/6/2017,7376.16,7440.8,6932.25,6969.33,9484.351911,68286252.42,7199.885987
11/5/2017,7367.05,7594.85,7269.15,7380.14,5916.778062,44048463.6,7444.670585
11/4/2017,7129.25,7520.28,6933.09,7367.05,6460.94345,46702256.09,7228.395737
11/3/2017,7015.95,7443.8,6920.76,7129.25,9221.16886,66693308.04,7232.630597
11/2/2017,6732.75,7312.51,6720,7016.2,13333.74218,92754401.63,6956.366815
11/1/2017,6447.49,6731.25,6345.25,6731.25,5762.350667,37615643.46,6527.829636
10/31/2017,6133.35,6469.89,6091.05,6449.57,4646.210779,29238699.29,6293.020416
10/30/2017,6159.45,6244.65,6017.18,6132.05,4886.841844,29989141.4,6136.712084
10/29/2017,5726.45,6339.09,5673.96,6162.15,5374.292754,32333010.68,6016.235467
10/28/2017,5765.85,5870.05,5639.51,5726.2,2921.541857,16749164.42,5732.988005
10/27/2017,5896.05,6017.45,5688.15,5764.05,5003.867618,29065274.24,5808.561789
10/26/2017,5730.35,5972.05,5683.99,5896.05,5088.446331,29723617.57,5841.393548
10/25/2017,5506.05,5751.55,5364.15,5730.35,6764.338958,37390028.53,5527.521427
10/24/2017,5903.45,5903.45,5468.05,5506.05,8652.511359,48894317.74,5650.881658
10/23/2017,5977.94,6046.2,5637.15,5902.45,8511.403312,49727100.16,5842.4091
10/22/2017,6008.05,6065.65,5707.01,5977.8,6908.566356,40606226.24,5877.663201
10/21/2017,5985.05,6192.3,5869.33,6008.11,6747.750215,40899024.52,6061.13493
10/20/2017,5740.45,6083.85,5674.55,5988.38,2082.991928,12321303.26,5915.194916
10/19/2017,5668.85,5809.35,5599.1,5740.45,2392.058458,13689190.18,5722.765737
10/18/2017,5649.9,5713.35,5219.25,5665.69,3226.586163,17634628.86,5465.413897
10/17/2017,5818.05,5832.25,5567.1,5649.75,1935.554324,10955976.35,5660.381737
10/16/2017,5764.15,5859.35,5634.4,5818.05,2174.538334,12499307.05,5748.027917
10/15/2017,5888.15,5930.25,5513.05,5764.15,2037.170433,11568114.43,5678.52068
10/14/2017,5690.05,5910.55,5621.35,5887.5,1927.058845,11093254.09,5756.572571
10/13/2017,5504.15,5941.82,5452.28,5690.05,3822.734123,21856857.62,5717.598168
10/12/2017,4889,5508.25,4879.85,5506.18,3300.146411,17263037.85,5230.991507
10/11/2017,4853.5,4950.3,4786.85,4888.15,2058.127345,10025339.61,4871.097814
10/10/2017,4870.25,5038.38,4783.35,4839.45,2308.173684,11334845.56,4910.742047
10/9/2017,4706.4,4958.35,4649.55,4865.55,2657.820221,12670462.41,4767.238323
10/8/2017,4555.63,4721,4517.45,4707.95,2582.750752,11925338.13,4617.301195
10/7/2017,4486.35,4601.05,4438.3,4556.22,1108.431174,4977237.928,4490.344592
10/6/2017,4428.73,4541.7,4410.35,4486.35,1961.446769,8803933.415,4488.489596
10/5/2017,4368.91,4482.1,4283.55,4432.5,2228.438794,9817632.599,4405.610163
10/4/2017,4461.35,4499.95,4325.05,4365.35,1213.384054,5325936.955,4389.324994
10/3/2017,4546.65,4586.65,4374.4,4464.98,2425.848695,10785241.75,4445.966383
10/2/2017,4570.55,4693.14,4510.85,4547.35,1821.150513,8319639.153,4568.342426
10/1/2017,4533.35,4588.33,4423.97,4569.95,1642.469079,7384897.57,4496.217106
9/30/2017,4375.75,4560.9,4368.1,4533.35,1624.022427,7298375.994,4494.011827
9/29/2017,4406.65,4451.2,4247.55,4375.75,2315.97126,10084058.3,4354.137925
9/28/2017,4433.98,4491.2,4345.9,4406.75,2178.269968,9615341.985,4414.210418
9/27/2017,4125.2,4454.4,4116.15,4434.7,2899.621694,12453661.76,4294.926397
9/26/2017,4165.85,4489.16,4089.92,4129.95,1874.982301,7810348.462,4165.558501
9/25/2017,3925,4207.1,3924.7,4165.9,2671.853129,10903461.6,4080.861139
9/24/2017,4066.99,4067.73,3900.4,3924.85,1127.203659,4465478.552,3961.554344
9/23/2017,3895,4103.25,3858.95,4069,1932.852899,7750167.629,4009.703808
9/22/2017,3882.6,4014.55,3794.35,3895.15,3180.984493,12406889.71,3900.330146
9/21/2017,4135.5,4161.25,3845.9,3881.85,3939.847068,15822362.45,4015.983914
9/20/2017,4156.35,4297,4086.05,4129.05,2753.948446,11549057.48,4193.636049
9/19/2017,4340.9,4366.6,4114.95,4155.83,4100.935165,17328355.29,4225.464338
9/18/2017,3940.25,4369.65,3940.25,4340.75,4489.001584,18855057.78,4200.278708
9/17/2017,3963.44,4047.22,3749.75,3939.95,3783.090102,14779849.41,3906.819295
9/16/2017,4034.1,4210.85,3815.2,3965.55,4797.395352,19250004.58,4012.594995
9/15/2017,3507.95,4145.25,3325.2,4033.98,7896.269544,29242799.13,3703.36891
9/14/2017,4079.38,4138.45,3481.9,3507.85,7909.905452,30255898.41,3825.064483
9/13/2017,4302.45,4317.45,3958.45,4082.76,8197.27974,33760142.39,4118.456789
9/12/2017,4370.7,4546.75,4211.87,4302.45,5756.164276,25351361.82,4404.210965
9/11/2017,4411.7,4551.6,4304.35,4370.95,5298.132342,23318818.16,4401.327988
9/10/2017,4497.48,4503.95,4178.05,4409.7,6006.062408,26015229.96,4331.495112
9/9/2017,4477.7,4561.7,4338.75,4498.05,5133.465519,22904620.12,4461.82409
9/8/2017,4821.55,4884.15,4322.85,4484.05,6197.391979,28441885.4,4589.331367
9/7/2017,4802.83,4905.53,4667.95,4821.55,4450.970156,21408013.25,4809.74091
9/6/2017,4602.95,4860.23,4592.58,4802.09,8316.532036,39397611.5,4737.264443
9/5/2017,4407.4,4700,4126.88,4602.95,9281.387774,41191040.61,4438.026037
9/4/2017,4704.7,4713.25,4254.85,4398.35,6797.910424,30390899.49,4470.623706
9/3/2017,4630.95,4793.85,4438.14,4702.95,5412.972693,25130889.93,4642.715076
9/2/2017,4971.65,5032.55,4504.65,4628.2,5970.275334,28289190.92,4738.339412
9/1/2017,4794.95,4982.25,4731.05,4967.85,7578.809941,36816456.67,4857.815007
8/31/2017,4631.95,4822.85,4630.45,4797.18,5542.050135,26292236.37,4744.135425
8/30/2017,4649.84,4705.95,4548.81,4631.95,4732.193905,21923386.96,4632.816702
8/29/2017,4467.5,4713.85,4422.2,4651.35,5759.069997,26248162.33,4557.70851
8/28/2017,4379.95,4480.55,4360.85,4467.45,2954.627569,13054884.19,4418.453386
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
